Set,Release Date,Set Type,Card Name,Card No.,Mana Cost,Type,Rarity,Price
Time Spiral,2006-10-06,expansion,Snapback,78,{1}{U},Instant,common,0.31
Time Spiral,2006-10-06,expansion,Spiketail Drakeling,80,{1}{U}{U},Creature — Drake,common,0.19
Time Spiral Timeshifted,2006-10-06,expansion,Spike Feeder,84,{1}{G}{G},Creature — Spike,special,0.60
Time Spiral,2006-10-06,expansion,Think Twice,86,{1}{U},Instant,common,0.20
Time Spiral Timeshifted,2006-10-06,expansion,Wall of Roots,89,{1}{G},Creature — Plant Wall,special,0.61
Time Spiral,2006-10-06,expansion,Call to the Netherworld,97,{B},Sorcery,common,0.32
Time Spiral Timeshifted,2006-10-06,expansion,Shadowmage Infiltrator,99,{1}{U}{B},Creature — Human Wizard,special,0.40
Time Spiral,2006-10-06,expansion,Dark Withering,101,{4}{B}{B},Instant,common,0.09
Time Spiral,2006-10-06,expansion,Dread Return,104,{2}{B}{B},Sorcery,uncommon,0.42
Time Spiral Timeshifted,2006-10-06,expansion,Feldon's Cane,109,{1},Artifact,special,1.41
Time Spiral Timeshifted,2006-10-06,expansion,Mindless Automaton,111,{4},Artifact Creature — Construct,special,0.27
Time Spiral Timeshifted,2006-10-06,expansion,Serrated Arrows,114,{4},Artifact,special,0.24
Time Spiral Timeshifted,2006-10-06,expansion,Desert,118,,Land — Desert,special,2.50
Time Spiral Timeshifted,2006-10-06,expansion,Gemstone Mine,119,,Land,special,2.60
Time Spiral,2006-10-06,expansion,Pit Keeper,123,{1}{B},Creature — Human Wizard,common,0.15
Time Spiral,2006-10-06,expansion,Smallpox,131,{B}{B},Sorcery,uncommon,0.31
Time Spiral,2006-10-06,expansion,Strangling Soot,132,{2}{B},Instant,common,0.16
Time Spiral,2006-10-06,expansion,Tendrils of Corruption,136,{3}{B},Instant,common,0.23
Time Spiral,2006-10-06,expansion,Ancient Grudge,143,{1}{R},Instant,common,0.19
Time Spiral,2006-10-06,expansion,Barbed Shocker,144,{3}{R},Creature — Insect,uncommon,0.20
Time Spiral,2006-10-06,expansion,Bonesplitter Sliver,149,{3}{R},Creature — Sliver,common,0.21
Time Spiral,2006-10-06,expansion,Empty the Warrens,152,{3}{R},Sorcery,common,0.16
Time Spiral,2006-10-06,expansion,Goblin Skycutter,159,{1}{R},Creature — Goblin Warrior,common,0.05
Time Spiral,2006-10-06,expansion,Grapeshot,160,{1}{R},Sorcery,common,0.31
Time Spiral,2006-10-06,expansion,Greater Gargadon,161,{9}{R},Creature — Beast,rare,0.47
Time Spiral,2006-10-06,expansion,Lightning Axe,168,{R},Instant,common,0.24
Time Spiral,2006-10-06,expansion,Mogg War Marshal,170,{1}{R},Creature — Goblin Warrior,common,0.20
Time Spiral,2006-10-06,expansion,Orcish Cannonade,172,{1}{R}{R},Instant,common,0.08
Time Spiral,2006-10-06,expansion,Rift Bolt,176,{2}{R},Sorcery,common,0.45
Time Spiral,2006-10-06,expansion,Sudden Shock,179,{1}{R},Instant,uncommon,0.23
Time Spiral Promos,2006-10-06,promo,Sudden Shock,179★,{1}{R},Instant,rare,
Time Spiral,2006-10-06,expansion,Sulfurous Blast,180,{2}{R}{R},Instant,uncommon,0.15
Time Spiral,2006-10-06,expansion,Undying Rage,184,{2}{R},Enchantment — Aura,uncommon,0.08
Time Spiral,2006-10-06,expansion,Chameleon Blur,192,{3}{G},Instant,common,0.05
Time Spiral,2006-10-06,expansion,Havenwood Wurm,199,{6}{G},Creature — Wurm,common,0.09
Time Spiral,2006-10-06,expansion,Might of Old Krosa,204,{G},Instant,uncommon,0.26
Time Spiral,2006-10-06,expansion,Mwonvuli Acid-Moss,207,{2}{G}{G},Sorcery,common,1.25
Time Spiral,2006-10-06,expansion,Penumbra Spider,210,{2}{G}{G},Creature — Spider,common,0.18
Time Spiral,2006-10-06,expansion,Search for Tomorrow,216,{2}{G},Sorcery,common,0.28
Time Spiral,2006-10-06,expansion,Thrill of the Hunt,229,{G},Instant,common,0.03
Time Spiral,2006-10-06,expansion,Chromatic Star,251,{1},Artifact,common,0.25
Time Spiral,2006-10-06,expansion,Chronatog Totem,252,{3},Artifact,uncommon,0.25
Time Spiral,2006-10-06,expansion,Prismatic Lens,262,{2},Artifact,common,0.33
Time Spiral,2006-10-06,expansion,Terramorphic Expanse,279,,Land,common,0.25
Time Spiral,2006-10-06,expansion,Urza's Factory,280,,Land — Urza's,uncommon,0.28
Champs and States,2006-10-21,promo,Urza's Factory,5,,Land — Urza's,rare,13.81
DCI Promos,2006-10-31,promo,Wood Elves,1,{2}{G},Creature — Elf Scout,rare,
DCI Promos,2006-10-31,promo,Icatian Javelineers,2,{W},Creature — Human Soldier,rare,
DCI Promos,2006-10-31,promo,Fiery Temper,3,{1}{R}{R},Instant,rare,
Friday Night Magic 2007,2007-01-01,promo,Firebolt,1,{R},Sorcery,rare,
Friday Night Magic 2007,2007-01-01,promo,Deep Analysis,2,{3}{U},Sorcery,rare,
Magic Player Rewards 2007,2007-01-01,promo,Mortify,3,{1}{W}{B},Instant,rare,2.85
Friday Night Magic 2007,2007-01-01,promo,Basking Rootwalla,4,{G},Creature — Lizard,rare,
Magic Player Rewards 2007,2007-01-01,promo,Psionic Blast,4,{2}{U},Instant,rare,2.44
Friday Night Magic 2007,2007-01-01,promo,Goblin Legionnaire,6,{R}{W},Creature — Goblin Soldier,rare,
Magic Player Rewards 2007,2007-01-01,promo,Disenchant,6,{1}{W},Instant,rare,3.69
Friday Night Magic 2007,2007-01-01,promo,Roar of the Wurm,11,{6}{G},Sorcery,rare,
Friday Night Magic 2007,2007-01-01,promo,Force Spike,12,{U},Instant,rare,
Planar Chaos Promos,2007-01-20,promo,Oros. the Avenger,161★,{3}{R}{W}{B},Legendary Creature — Dragon,rare,
Planar Chaos,2007-02-02,expansion,Aven Riftwatcher,1,{2}{W},Creature — Bird Rebel Soldier,common,0.12
Planar Chaos,2007-02-02,expansion,Dawn Charm,4,{1}{W},Instant,common,0.54
Planar Chaos,2007-02-02,expansion,Dust Elemental,5,{2}{W}{W},Creature — Elemental,rare,0.38
Planar Chaos,2007-02-02,expansion,Saltfield Recluse,16,{2}{W},Creature — Human Rebel Cleric,common,0.09
Planar Chaos,2007-02-02,expansion,Stonecloaker,19,{2}{W},Creature — Gargoyle,uncommon,0.17
Planar Chaos,2007-02-02,expansion,Whitemane Lion,22,{1}{W},Creature — Cat,common,0.16
Planar Chaos,2007-02-02,expansion,Mana Tithe,25,{W},Instant,common,0.36
Planar Chaos,2007-02-02,expansion,Mesa Enchantress,26,{1}{W}{W},Creature — Human Druid,rare,1.06
Planar Chaos,2007-02-02,expansion,Sunlance,31,{W},Sorcery,common,0.17
Planar Chaos,2007-02-02,expansion,Auramancer's Guise,34,{2}{U}{U},Enchantment — Aura,uncommon,1.44
Planar Chaos,2007-02-02,expansion,Body Double,35,{4}{U},Creature — Shapeshifter,rare,0.50
Planar Chaos,2007-02-02,expansion,Dreamscape Artist,40,{1}{U},Creature — Human Spellshaper,common,0.13
Planar Chaos,2007-02-02,expansion,Reality Acid,45,{2}{U},Enchantment — Aura,common,0.23
Planar Chaos,2007-02-02,expansion,Shaper Parasite,46,{1}{U}{U},Creature — Illusion,common,0.06
Planar Chaos,2007-02-02,expansion,Ovinize,57,{1}{U},Instant,uncommon,0.22
Planar Chaos,2007-02-02,expansion,Blightspeaker,64,{1}{B},Creature — Human Rebel Cleric,common,0.06
Planar Chaos,2007-02-02,expansion,Circle of Affliction,66,{1}{B},Enchantment,uncommon,0.22
Planar Chaos,2007-02-02,expansion,Dash Hopes,68,{B}{B},Instant,common,0.57
Planar Chaos,2007-02-02,expansion,Melancholy,88,{2}{B},Enchantment — Aura,common,0.06
Planar Chaos,2007-02-02,expansion,Rathi Trapper,90,{1}{B},Creature — Human Rebel Rogue,common,0.25
Planar Chaos,2007-02-02,expansion,Vampiric Link,92,{B},Enchantment — Aura,common,0.69
Planar Chaos,2007-02-02,expansion,Dust Corona,97,{R},Enchantment — Aura,common,0.15
Planar Chaos,2007-02-02,expansion,Keldon Marauders,102,{1}{R},Creature — Human Warrior,common,0.09
Planar Chaos,2007-02-02,expansion,Dead // Gone,113,{R} // {2}{R},Instant // Instant,common,0.36
Planar Chaos,2007-02-02,expansion,Brute Force,116,{R},Instant,common,0.21
Planar Chaos,2007-02-02,expansion,Reckless Wurm,120,{3}{R}{R},Creature — Wurm,uncommon,0.23
Planar Chaos,2007-02-02,expansion,Citanul Woodreaders,125,{2}{G},Creature — Human Druid,common,0.07
Planar Chaos,2007-02-02,expansion,Evolution Charm,127,{1}{G},Instant,common,0.17
Planar Chaos,2007-02-02,expansion,Giant Dustwasp,129,{3}{G}{G},Creature — Insect,common,0.15
Planar Chaos,2007-02-02,expansion,Mire Boa,135,{1}{G},Creature — Snake,common,0.12
Planar Chaos,2007-02-02,expansion,Essence Warden,145,{G},Creature — Elf Shaman,common,2.59
Planar Chaos,2007-02-02,expansion,Fa'adiyah Seer,146,{1}{G},Creature — Human Shaman,common,0.15
Planar Chaos,2007-02-02,expansion,Harmonize,149,{2}{G}{G},Sorcery,uncommon,0.49
Planar Chaos,2007-02-02,expansion,Oros. the Avenger,161,{3}{R}{W}{B},Legendary Creature — Dragon,rare,0.55
Planar Chaos,2007-02-02,expansion,Teneb. the Harvester,163,{3}{W}{B}{G},Legendary Creature — Dragon,rare,0.55
Planar Chaos,2007-02-02,expansion,Vorosh. the Hunter,164,{3}{B}{G}{U},Legendary Creature — Dragon,rare,0.80
Grand Prix Promos,2007-02-24,promo,Spiritmonger,2007,{3}{B}{G},Creature — Beast,rare,
DCI Promos,2007-02-28,promo,Boomerang,4,{U}{U},Instant,rare,
DCI Promos,2007-02-28,promo,Reckless Wurm,6,{3}{R}{R},Creature — Wurm,rare,
Future Sight,2007-05-04,expansion,Dust of Moments,5,{2}{W},Instant,uncommon,0.23
Future Sight,2007-05-04,expansion,Lost Auramancers,11,{2}{W}{W},Creature — Human Wizard,uncommon,0.41
Future Sight,2007-05-04,expansion,Marshaling Cry,13,{1}{W}{W},Sorcery,common,0.23
Future Sight,2007-05-04,expansion,Aven Mindcensor,18,{2}{W},Creature — Bird Wizard,uncommon,1.15
Future Sight,2007-05-04,expansion,Bound in Silence,20,{2}{W},Tribal Enchantment — Rebel Aura,uncommon,0.16
Future Sight,2007-05-04,expansion,Lumithread Field,25,{1}{W},Enchantment,common,0.17
Future Sight,2007-05-04,expansion,Foresee,36,{3}{U},Sorcery,common,0.18
Future Sight,2007-05-04,expansion,Logic Knot,52,{X}{U}{U},Instant,common,0.22
Future Sight,2007-05-04,expansion,Vedalken Aethermage,61,{1}{U},Creature — Vedalken Wizard,common,0.30
Future Sight,2007-05-04,expansion,Ichor Slick,68,{2}{B},Sorcery,common,0.07
Future Sight,2007-05-04,expansion,Lost Hours,69,{1}{B},Sorcery,common,0.08
Future Sight,2007-05-04,expansion,Skirk Ridge Exhumer,77,{1}{B},Creature — Zombie Spellshaper,uncommon,0.25
Future Sight,2007-05-04,expansion,Deepcavern Imp,83,{2}{B},Creature — Imp Rebel,common,0.11
Future Sight,2007-05-04,expansion,Grave Scrabbler,86,{3}{B},Creature — Zombie,common,0.23
Future Sight,2007-05-04,expansion,Street Wraith,90,{3}{B}{B},Creature — Wraith,uncommon,2.31
Future Sight,2007-05-04,expansion,Gathan Raiders,99,{3}{R}{R},Creature — Human Warrior,common,0.16
Future Sight,2007-05-04,expansion,Sparkspitter,109,{2}{R},Creature — Elemental Spellshaper,uncommon,0.10
Future Sight,2007-05-04,expansion,Thunderblade Charge,124,{1}{R}{R},Sorcery,rare,0.26
Future Sight,2007-05-04,expansion,Kavu Primarch,128,{3}{G},Creature — Kavu,common,0.05
Future Sight,2007-05-04,expansion,Llanowar Mentor,131,{G},Creature — Elf Spellshaper,uncommon,0.23
Future Sight,2007-05-04,expansion,Sprout Swarm,138,{1}{G},Instant,common,0.41
Future Sight,2007-05-04,expansion,Wrap in Vigor,141,{1}{G},Instant,common,1.12
Future Sight,2007-05-04,expansion,Centaur Omenreader,143,{3}{G},Snow Creature — Centaur Shaman,uncommon,0.26
Future Sight,2007-05-04,expansion,Edge of Autumn,144,{1}{G},Sorcery,common,0.41
Future Sight,2007-05-04,expansion,Imperiosaur,145,{2}{G}{G},Creature — Dinosaur,uncommon,0.30
Future Sight,2007-05-04,expansion,Phosphorescent Feast,149,{2}{G}{G}{G},Sorcery,uncommon,0.16
Future Sight,2007-05-04,expansion,Thornweald Archer,154,{1}{G},Creature — Elf Archer,common,0.15
Future Sight,2007-05-04,expansion,Epochrasite,162,{2},Artifact Creature — Construct,rare,0.36
Future Sight,2007-05-04,expansion,Dakmor Salvage,169,,Land,uncommon,1.18
Tenth Edition Promos,2007-07-13,promo,Faerie Conclave,1,,Land,rare,
Tenth Edition Promos,2007-07-13,promo,Treetop Village,2,,Land,rare,
Tenth Edition,2007-07-13,core,Aven Cloudchaser,7,{3}{W},Creature — Bird Soldier,common,0.12
Tenth Edition,2007-07-13,core,Benalish Knight,11,{2}{W},Creature — Human Knight,common,0.11
Tenth Edition,2007-07-13,core,Loyal Sentry,27,{W},Creature — Human Soldier,rare,0.47
Tenth Edition,2007-07-13,core,Pacifism,31,{1}{W},Enchantment — Aura,common,0.06
Tenth Edition,2007-07-13,core,Serra Angel,39,{3}{W}{W},Creature — Angel,rare,0.41
Tenth Edition,2007-07-13,core,Soul Warden,44,{W},Creature — Human Cleric,uncommon,1.58
Tenth Edition,2007-07-13,core,Suntail Hawk,50,{W},Creature — Bird,common,0.19
Tenth Edition,2007-07-13,core,Tundra Wolves,54,{W},Creature — Wolf,common,0.05
Tenth Edition,2007-07-13,core,Youthful Knight,62,{1}{W},Creature — Human Knight,common,0.08
Tenth Edition,2007-07-13,core,Aven Fisher,68,{3}{U},Creature — Bird Soldier,common,0.02
Tenth Edition,2007-07-13,core,Aven Windreader,69,{3}{U}{U},Creature — Bird Soldier Wizard,common,0.17
Tenth Edition,2007-07-13,core,Boomerang,70,{U}{U},Instant,common,0.23
Tenth Edition,2007-07-13,core,Cancel,71,{1}{U}{U},Instant,common,0.10
Tenth Edition,2007-07-13,core,Clone,73,{3}{U},Creature — Shapeshifter,rare,0.47
Tenth Edition,2007-07-13,core,Cloud Elemental,74,{2}{U},Creature — Elemental,common,0.10
Tenth Edition,2007-07-13,core,Horseshoe Crab,87,{2}{U},Creature — Crab,common,0.21
Tenth Edition,2007-07-13,core,Merfolk Looter,92,{1}{U},Creature — Merfolk Rogue,common,0.15
Tenth Edition,2007-07-13,core,Mind Bend,93,{U},Instant,rare,0.52
Tenth Edition,2007-07-13,core,Remove Soul,100,{1}{U},Instant,common,0.16
Tenth Edition,2007-07-13,core,Rootwater Commando,102,{2}{U},Creature — Merfolk,common,0.08
Tenth Edition,2007-07-13,core,Snapping Drake,110,{3}{U},Creature — Drake,common,0.05
Tenth Edition,2007-07-13,core,Spiketail Hatchling,111,{1}{U},Creature — Drake,uncommon,0.22
Tenth Edition,2007-07-13,core,Telling Time,114,{1}{U},Instant,uncommon,0.31
Tenth Edition,2007-07-13,core,Unsummon,122,{U},Instant,common,0.20
Tenth Edition,2007-07-13,core,Afflict,125,{2}{B},Instant,common,0.05
Tenth Edition,2007-07-13,core,Consume Spirit,131,{X}{1}{B},Sorcery,uncommon,0.22
Tenth Edition,2007-07-13,core,Distress,136,{B}{B},Sorcery,common,0.19
Tenth Edition,2007-07-13,core,Festering Goblin,143,{B},Creature — Zombie Goblin,common,0.09
Tenth Edition,2007-07-13,core,Gravedigger,146,{3}{B},Creature — Zombie,common,0.10
Tenth Edition,2007-07-13,core,Hypnotic Specter,151,{1}{B}{B},Creature — Specter,rare,1.73
Tenth Edition,2007-07-13,core,Nantuko Husk,162,{2}{B},Creature — Zombie Insect,uncommon,0.25
Tenth Edition,2007-07-13,core,Phyrexian Rager,167,{2}{B},Creature — Phyrexian Horror,common,0.09
Tenth Edition,2007-07-13,core,Ravenous Rats,171,{1}{B},Creature — Rat,common,0.14
Tenth Edition,2007-07-13,core,Severed Legion,177,{1}{B}{B},Creature — Zombie,common,0.05
Tenth Edition,2007-07-13,core,Soul Feast,179,{3}{B}{B},Sorcery,uncommon,0.15
Tenth Edition,2007-07-13,core,Terror,182,{1}{B},Instant,common,0.18
Tenth Edition,2007-07-13,core,Bogardan Firefiend,193,{2}{R},Creature — Elemental Spirit,common,0.10
Tenth Edition,2007-07-13,core,Duct Crawler,198,{R},Creature — Insect,common,0.07
Tenth Edition,2007-07-13,core,Flamewave Invoker,202,{2}{R},Creature — Goblin Mutant,uncommon,0.11
Tenth Edition,2007-07-13,core,Incinerate,213,{1}{R},Instant,common,0.21
Tenth Edition,2007-07-13,core,Lava Axe,215,{4}{R},Sorcery,common,0.05
Tenth Edition,2007-07-13,core,Lightning Elemental,217,{3}{R},Creature — Elemental,common,0.07
Tenth Edition,2007-07-13,core,Mogg Fanatic,219,{R},Creature — Goblin,uncommon,0.23
Tenth Edition,2007-07-13,core,Pyroclasm,222,{1}{R},Sorcery,uncommon,0.20
Tenth Edition,2007-07-13,core,Raging Goblin,224,{R},Creature — Goblin Berserker,common,0.16
Tenth Edition,2007-07-13,core,Shock,232,{R},Instant,common,0.15
Tenth Edition,2007-07-13,core,Viashino Sandscout,246,{1}{R},Creature — Viashino Scout,common,0.08
Tenth Edition,2007-07-13,core,Civic Wayfinder,255,{2}{G},Creature — Elf Druid Warrior,common,0.15
Tenth Edition,2007-07-13,core,Elvish Berserker,260,{G},Creature — Elf Berserker,common,0.15
Tenth Edition,2007-07-13,core,Giant Growth,266,{G},Instant,common,0.12
Tenth Edition,2007-07-13,core,Llanowar Elves,274,{G},Creature — Elf Druid,common,0.35
Tenth Edition,2007-07-13,core,Natural Spring,281,{3}{G}{G},Sorcery,common,0.09
Tenth Edition,2007-07-13,core,Overgrowth,283,{2}{G},Enchantment — Aura,common,0.33
Tenth Edition,2007-07-13,core,Overrun,284,{2}{G}{G}{G},Sorcery,uncommon,0.30
Tenth Edition,2007-07-13,core,Rampant Growth,288,{1}{G},Sorcery,common,0.26
Tenth Edition,2007-07-13,core,Scion of the Wild,295,{1}{G}{G},Creature — Avatar,rare,0.23
Tenth Edition,2007-07-13,core,Yavimaya Enchantress,310,{2}{G},Creature — Human Druid,uncommon,0.20
Tenth Edition,2007-07-13,core,Bottle Gnomes,312,{3},Artifact Creature — Gnome,uncommon,0.07
Tenth Edition,2007-07-13,core,Chromatic Star,314,{1},Artifact,uncommon,0.58
Tenth Edition,2007-07-13,core,Icy Manipulator,326,{4},Artifact,uncommon,0.17
Tenth Edition,2007-07-13,core,Juggernaut,328,{4},Artifact Creature — Juggernaut,uncommon,0.25
Tenth Edition,2007-07-13,core,Leonin Scimitar,331,{1},Artifact — Equipment,uncommon,0.18
Tenth Edition,2007-07-13,core,Loxodon Warhammer,332,{3},Artifact — Equipment,rare,1.38
Tenth Edition,2007-07-13,core,Mind Stone,335,{2},Artifact,uncommon,0.64
Tenth Edition,2007-07-13,core,Ornithopter,336,{0},Artifact Creature — Thopter,uncommon,0.62
Tenth Edition,2007-07-13,core,Whispersilk Cloak,345,{3},Artifact — Equipment,uncommon,3.94
Tenth Edition,2007-07-13,core,Adarkar Wastes,347,,Land,rare,6.77
Tenth Edition,2007-07-13,core,Battlefield Forge,348,,Land,rare,2.12
Tenth Edition,2007-07-13,core,Brushland,349,,Land,rare,5.01
Tenth Edition,2007-07-13,core,Caves of Koilos,350,,Land,rare,1.96
Tenth Edition,2007-07-13,core,Faerie Conclave,351,,Land,uncommon,1.53
Tenth Edition,2007-07-13,core,Karplusan Forest,354,,Land,rare,3.78
Tenth Edition,2007-07-13,core,Llanowar Wastes,355,,Land,rare,2.01
Tenth Edition,2007-07-13,core,Quicksand,356,,Land,uncommon,0.20
Tenth Edition,2007-07-13,core,Shivan Reef,357,,Land,rare,1.78
Tenth Edition,2007-07-13,core,Sulfurous Springs,359,,Land,rare,6.15
Tenth Edition,2007-07-13,core,Terramorphic Expanse,360,,Land,common,0.25
Tenth Edition,2007-07-13,core,Treetop Village,361,,Land,uncommon,0.54
Tenth Edition,2007-07-13,core,Underground River,362,,Land,rare,5.42
Tenth Edition,2007-07-13,core,Yavimaya Coast,363,,Land,rare,1.34
DCI Promos,2007-10-01,promo,Llanowar Elves,9,{G},Creature — Elf Druid,rare,
DCI Promos,2007-10-01,promo,Mogg Fanatic,10,{R},Creature — Goblin,rare,
DCI Promos,2007-10-01,promo,Mind Stone,11,{2},Artifact,rare,
Lorwyn,2007-10-12,expansion,Cloudgoat Ranger,10,{3}{W}{W},Creature — Giant Warrior Ranger,uncommon,0.18
Lorwyn,2007-10-12,expansion,Crib Swap,11,{2}{W},Tribal Instant — Shapeshifter,uncommon,0.46
Lorwyn,2007-10-12,expansion,Goldmeadow Harrier,17,{W},Creature — Kithkin Soldier,common,0.22
Lorwyn,2007-10-12,expansion,Neck Snap,32,{3}{W},Instant,common,0.06
Lorwyn,2007-10-12,expansion,Oblivion Ring,34,{2}{W},Enchantment,common,0.26
Lorwyn,2007-10-12,expansion,Wispmare,48,{2}{W},Creature — Elemental,common,0.27
Lorwyn,2007-10-12,expansion,Aethersnipe,50,{5}{U},Creature — Elemental,common,0.12
Lorwyn,2007-10-12,expansion,Glimmerdust Nap,68,{2}{U},Enchantment — Aura,common,0.09
Lorwyn,2007-10-12,expansion,Mulldrifter,76,{4}{U},Creature — Elemental,common,0.45
Lorwyn,2007-10-12,expansion,Pestermite,78,{2}{U},Creature — Faerie Rogue,common,0.32
Lorwyn,2007-10-12,expansion,Ponder,79,{U},Sorcery,common,2.93
Lorwyn,2007-10-12,expansion,Protective Bubble,80,{3}{U},Enchantment — Aura,common,0.28
Lorwyn,2007-10-12,expansion,Sentinels of Glen Elendra,84,{3}{U},Creature — Faerie Soldier,common,0.09
Lorwyn,2007-10-12,expansion,Spellstutter Sprite,89,{1}{U},Creature — Faerie Wizard,common,5.14
Lorwyn,2007-10-12,expansion,Exiled Boggart,109,{1}{B},Creature — Goblin Rogue,common,0.09
Lorwyn,2007-10-12,expansion,Footbottom Feast,115,{2}{B},Instant,common,0.29
Lorwyn,2007-10-12,expansion,Mournwhelk,127,{6}{B},Creature — Elemental,common,0.10
Lorwyn,2007-10-12,expansion,Nameless Inversion,128,{1}{B},Tribal Instant — Shapeshifter,common,0.22
Lorwyn,2007-10-12,expansion,Shriekmaw,139,{4}{B},Creature — Elemental,uncommon,0.38
Lorwyn Promos,2007-10-12,promo,Shriekmaw,139★,{4}{B},Creature — Elemental,rare,
Lorwyn,2007-10-12,expansion,Warren Pilferers,146,{4}{B},Creature — Goblin Rogue,common,0.10
Lorwyn,2007-10-12,expansion,Weed Strangle,147,{3}{B}{B},Sorcery,common,0.11
Lorwyn,2007-10-12,expansion,Boggart Shenanigans,155,{2}{R},Tribal Enchantment — Goblin,uncommon,4.03
Lorwyn,2007-10-12,expansion,Changeling Berserker,160,{3}{R},Creature — Shapeshifter,uncommon,0.45
Lorwyn,2007-10-12,expansion,Goatnapper,172,{2}{R},Creature — Goblin Rogue,uncommon,0.15
Lorwyn,2007-10-12,expansion,Ingot Chewer,180,{4}{R},Creature — Elemental,common,0.26
Lorwyn,2007-10-12,expansion,Inner-Flame Igniter,182,{2}{R},Creature — Elemental Warrior,uncommon,0.10
Lorwyn,2007-10-12,expansion,Lash Out,183,{1}{R},Instant,common,0.11
Lorwyn,2007-10-12,expansion,Soulbright Flamekin,190,{1}{R},Creature — Elemental Shaman,common,0.15
Lorwyn,2007-10-12,expansion,Briarhorn,199,{3}{G},Creature — Elemental,uncommon,0.19
Lorwyn,2007-10-12,expansion,Elvish Branchbender,204,{2}{G},Creature — Elf Druid,common,0.10
Lorwyn,2007-10-12,expansion,Elvish Promenade,208,{3}{G},Tribal Sorcery — Elf,uncommon,4.01
Lorwyn,2007-10-12,expansion,Fertile Ground,211,{1}{G},Enchantment — Aura,common,0.45
Lorwyn,2007-10-12,expansion,Gilt-Leaf Ambush,214,{2}{G},Tribal Instant — Elf,common,0.13
Lorwyn,2007-10-12,expansion,Imperious Perfect,220,{2}{G},Creature — Elf Warrior,uncommon,0.53
Lorwyn,2007-10-12,expansion,Lignify,228,{1}{G},Tribal Enchantment — Treefolk Aura,common,1.07
Lorwyn,2007-10-12,expansion,Lys Alana Huntmaster,229,{2}{G}{G},Creature — Elf Warrior,common,0.76
Lorwyn,2007-10-12,expansion,Springleaf Drum,261,{1},Artifact,common,0.53
Lorwyn,2007-10-12,expansion,Vivid Crag,275,,Land,uncommon,0.37
Lorwyn,2007-10-12,expansion,Vivid Creek,276,,Land,uncommon,0.24
Lorwyn,2007-10-12,expansion,Vivid Grove,277,,Land,uncommon,0.27
Lorwyn,2007-10-12,expansion,Vivid Marsh,278,,Land,uncommon,0.77
Lorwyn,2007-10-12,expansion,Vivid Meadow,279,,Land,uncommon,0.25
Champs and States,2007-10-27,promo,Imperious Perfect,9,{2}{G},Creature — Elf Warrior,rare,10.81
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Elvish Warrior,5,{G}{G},Creature — Elf Warrior,common,0.09
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Gempalm Strider,6,{1}{G},Creature — Elf,uncommon,0.10
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Imperious Perfect,8,{2}{G},Creature — Elf Warrior,uncommon,0.26
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Llanowar Elves,9,{G},Creature — Elf Druid,common,0.33
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Lys Alana Huntmaster,10,{2}{G}{G},Creature — Elf Warrior,common,0.26
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Timberwatch Elf,13,{2}{G},Creature — Elf,common,0.30
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Wellwisher,15,{1}{G},Creature — Elf,common,1.35
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Wirewood Herald,16,{1}{G},Creature — Elf,common,0.80
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Wood Elves,18,{2}{G},Creature — Elf Scout,common,0.54
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Elvish Promenade,20,{3}{G},Tribal Sorcery — Elf,uncommon,1.55
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Giant Growth,21,{G},Instant,common,0.16
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Harmonize,22,{2}{G}{G},Sorcery,uncommon,0.44
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Tranquil Thicket,27,,Land,common,0.23
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Akki Coalflinger,33,{1}{R}{R},Creature — Goblin Shaman,uncommon,0.20
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Flamewave Invoker,36,{2}{R},Creature — Goblin Mutant,uncommon,0.21
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Goblin Cohort,38,{R},Creature — Goblin Warrior,common,0.21
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Goblin Matron,39,{2}{R},Creature — Goblin,uncommon,0.93
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Mogg Fanatic,44,{R},Creature — Goblin,uncommon,0.25
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Mogg War Marshal,45,{1}{R},Creature — Goblin Warrior,common,0.24
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Raging Goblin,47,{R},Creature — Goblin Berserker,common,0.12
Duel Decks: Elves vs. Goblins,2007-11-16,duel_deck,Skirk Prospector,51,{R},Creature — Goblin,common,0.57
