Card Name,# Cubes,Sets,Mana Cost,Type
Totally Lost,1,War of the Spark Core Set 2019 Battlebond Masters 25 Gatecrash Mystery Booster,{4}{U},Instant
Tranquil Expanse,3,Commander 2018 Core Set 2019 Commander 2017 Amonkhet Aether Revolt Oath of the Gatewatch Starter Commander Decks,,Land
Traveler's Amulet,2,Double Masters 2022 Theros Beyond Death Rivals of Ixalan Hour of Devastation Theros Innistrad Shadows of the Past,{1},Artifact
Trusted Pegasus,6,Core Set 2020 War of the Spark,{2}{W},Creature — Pegasus
Turret Ogre,1,Core Set 2021 War of the Spark,{3}{R},Creature — Ogre Warrior
Uncomfortable Chill,1,Core Set 2019 Mystery Booster,{2}{U},Instant
Unsummon,2,Core Set 2020 Hour of Devastation Magic 2013 Magic 2012 Magic 2011 Magic 2010 Conflux Tenth Edition Eighth Edition Eighth Edition Seventh Edition Seventh Edition Classic Sixth Edition Fifth Edition Introductory Two-Player Set Fourth Edition Summer Magic / Edgar Revised Edition Unlimited Edition Limited Edition Beta Limited Edition Alpha Arena Beginner Set Explorers of Ixalan Salvat 2011 Duels of the Planeswalkers Rivals Quick Start Set Fourth Edition Foreign Black Border Foreign Black Border 30th Anniversary Edition 30th Anniversary Edition World Championship Decks 2003 World Championship Decks 2003 Intl. Collectors' Edition Collectors' Edition,{U},Instant
Valorous Steed,2,Core Set 2021 Jumpstart 2022,{4}{W},Creature — Unicorn
Vampire Opportunist,1,Core Set 2020 War of the Spark Arena Beginner Set,{1}{B},Creature — Vampire
Venomous Hierophant,2,Theros Beyond Death,{3}{B},Creature — Gorgon Cleric
Verdant Outrider,1,Wilds of Eldraine Wilds of Eldraine Art Series,{2}{G},Creature — Human Knight
Vodalian Arcanist,1,Core Set 2021 Dominaria,{1}{U},Creature — Merfolk Wizard
Voracious Vermin,2,Wilds of Eldraine,{2}{B},Creature — Rat
Vorstclaw,1,Core Set 2020 Avacyn Restored,{4}{G}{G},Creature — Elemental Horror
Wall of Runes,2,Core Set 2021 War of the Spark Arena Beginner Set,{U},Creature — Wall
War Screecher,1,War of the Spark,{1}{W},Creature — Bird
Warden of the Chained,1,Theros Beyond Death,{1}{R}{G},Creature — Minotaur Warrior
Weaselback Redcap,2,Throne of Eldraine Jumpstart 2022,{R},Creature — Goblin Knight
Wildwood Patrol,1,Core Set 2021 Arena Beginner Set,{2}{G},Creature — Centaur Scout
Windgrace Acolyte,1,Dominaria Mystery Booster,{4}{B},Creature — Cat Warrior
Woodland Stream,3,Commander Legends Commander 2019 Commander 2018 Core Set 2019 Rivals of Ixalan Ixalan Hour of Devastation Amonkhet Kaladesh Shadows over Innistrad Tales of Middle-earth Commander Shadows over Innistrad Remastered,,Land
Wrecking Crew,4,Streets of New Capenna,{4}{R},Creature — Human Warrior
Yavimaya Sapherd,3,Dominaria Mystery Booster,{2}{G},Creature — Fungus
Youthful Knight,4,Throne of Eldraine Archenemy: Nicol Bolas Modern Masters 2017 Tempest Remastered Tenth Edition Tenth Edition Stronghold Mystery Booster Salvat 2011 Anthologies,{1}{W},Creature — Human Knight
Zealot of the God-Pharaoh,1,Game Night 2019 Hour of Devastation Amonkhet Remastered Mystery Booster,{3}{R},Creature — Minotaur Archer
