Set,Release Date,Card Name,# Cubes,Card No.,Mana Cost,Type,Rarity,Price
Welcome Deck 2017,2017-04-15,Rabid Bite,2,26,{1}{G},Sorcery,common,0.14
Amonkhet,2017-04-28,Fan Bearer,1,12,{W},Creature — Zombie,common,0.03
Amonkhet,2017-04-28,Cancel,1,44,{1}{U}{U},Instant,common,0.04
Amonkhet,2017-04-28,Essence Scatter,6,52,{1}{U},Instant,common,0.04
Amonkhet,2017-04-28,Supernatural Stamina,3,111,{B},Instant,common,0.05
Amonkhet,2017-04-28,Fling,5,132,{1}{R},Instant,common,0.09
Amonkhet,2017-04-28,Evolving Wilds,28,242,,Land,common,0.08
Amonkhet,2017-04-28,Stone Quarry,3,274,,Land,common,0.07
Amonkhet,2017-04-28,Foul Orchard,3,279,,Land,common,0.08
Amonkhet,2017-04-28,Cinder Barrens,3,280,,Land,common,0.09
Amonkhet,2017-04-28,Forsaken Sanctuary,3,281,,Land,common,0.16
Amonkhet,2017-04-28,Highland Lake,3,282,,Land,common,0.13
Amonkhet,2017-04-28,Meandering River,3,283,,Land,common,0.16
Amonkhet,2017-04-28,Submerged Boneyard,3,284,,Land,common,0.16
Amonkhet,2017-04-28,Timber Gorge,3,285,,Land,common,0.12
Amonkhet,2017-04-28,Tranquil Expanse,3,286,,Land,common,0.11
Amonkhet,2017-04-28,Woodland Stream,3,287,,Land,common,0.08
Magic Online Promos,2017-05-31,Dragon Fodder,5,55898,{1}{R},Sorcery,common,
Commander Anthology,2017-06-09,Phyrexian Rager,23,62,{2}{B},Creature — Phyrexian Horror,common,0.05
Commander Anthology,2017-06-09,Llanowar Elves,27,125,{G},Creature — Elf Druid,common,0.52
Commander Anthology,2017-06-09,Evolving Wilds,28,247,,Land,common,0.14
Archenemy: Nicol Bolas,2017-06-16,Youthful Knight,4,22,{1}{W},Creature — Human Knight,common,0.05
Archenemy: Nicol Bolas,2017-06-16,Chandra's Outrage,2,43,{2}{R}{R},Instant,common,0.07
Magic Online Promos,2017-06-17,Fling,5,36076,{1}{R},Instant,common,
Magic Online Promos,2017-06-17,Evolving Wilds,28,55880,,Land,common,
Hour of Devastation,2017-07-14,Unsummon,2,54,{U},Instant,common,0.04
Hour of Devastation,2017-07-14,Abrade,22,83,{1}{R},Instant,uncommon,0.16
Hour of Devastation Promos,2017-07-14,Abrade,22,83,{1}{R},Instant,uncommon,1.47
Hour of Devastation,2017-07-14,Open Fire,1,105,{2}{R},Instant,common,0.02
Hour of Devastation,2017-07-14,Gift of Strength,1,117,{1}{G},Instant,common,0.03
Hour of Devastation,2017-07-14,Traveler's Amulet,2,167,{1},Artifact,common,0.05
Hour of Devastation,2017-07-14,Woodland Stream,3,204,,Land,common,0.14
Hour of Devastation,2017-07-14,Zealot of the God-Pharaoh,1,207,{3}{R},Creature — Minotaur Archer,common,0.14
Hour of Devastation,2017-07-14,Cinder Barrens,3,209,,Land,common,0.14
Commander 2017,2017-08-25,Cinder Barrens,3,241,,Land,uncommon,0.20
Commander 2017,2017-08-25,Evolving Wilds,28,248,,Land,common,0.14
Commander 2017,2017-08-25,Forsaken Sanctuary,3,250,,Land,uncommon,0.21
Commander 2017,2017-08-25,Stone Quarry,3,282,,Land,uncommon,0.14
Commander 2017,2017-08-25,Tranquil Expanse,3,286,,Land,uncommon,0.20
Ixalan,2017-09-29,Paladin of the Bloodstained,1,25,{3}{W},Creature — Vampire Knight,common,0.04
Ixalan,2017-09-29,Queen's Commission,1,29,{2}{W},Sorcery,common,0.03
Ixalan,2017-09-29,Cancel,1,47,{1}{U}{U},Instant,common,0.05
Ixalan,2017-09-29,Opt,16,65,{U},Instant,common,0.08
Ixalan,2017-09-29,Frenzied Raptor,1,146,{2}{R},Creature — Dinosaur,common,0.02
Ixalan,2017-09-29,Lightning Strike,17,149,{1}{R},Instant,uncommon,0.07
Ixalan,2017-09-29,Colossal Dreadmaw,3,180,{4}{G}{G},Creature — Dinosaur,common,0.06
Ixalan,2017-09-29,Cobbled Wings,1,233,{2},Artifact — Equipment,common,0.04
Ixalan,2017-09-29,Woodland Stream,3,284,,Land,common,0.10
Ixalan,2017-09-29,Stone Quarry,3,289,,Land,common,0.08
Duel Decks: Merfolk vs. Goblins,2017-10-24,Essence Scatter,6,6,{1}{U},Instant,common,0.13
Duel Decks: Merfolk vs. Goblins,2017-10-24,Boggart Brute,1,34,{2}{R},Creature — Goblin Warrior,common,0.03
Iconic Masters,2017-11-17,Frost Lynx,3,57,{2}{U},Creature — Elemental Cat,common,0.02
Iconic Masters,2017-11-17,Child of Night,1,85,{1}{B},Creature — Vampire,common,0.12
Iconic Masters,2017-11-17,Phyrexian Rager,23,102,{2}{B},Creature — Phyrexian Horror,common,0.02
Iconic Masters,2017-11-17,Borderland Marauder,7,119,{1}{R},Creature — Human Warrior,common,0.03
Iconic Masters,2017-11-17,Evolving Wilds,28,235,,Land,common,0.09
Explorers of Ixalan,2017-11-24,Unsummon,2,13,{U},Instant,common,0.07
Explorers of Ixalan,2017-11-24,Child of Night,1,16,{1}{B},Creature — Vampire,common,0.09
Rivals of Ixalan,2018-01-19,Exultant Skymarcher,1,7,{1}{W}{W},Creature — Vampire Soldier,common,0.02
Rivals of Ixalan,2018-01-19,Moment of Craving,5,79,{1}{B},Instant,common,0.03
Rivals of Ixalan,2018-01-19,Colossal Dreadmaw,3,125,{4}{G}{G},Creature — Dinosaur,common,0.03
Rivals of Ixalan,2018-01-19,Traveler's Amulet,2,184,{1},Artifact,common,0.06
Rivals of Ixalan,2018-01-19,Evolving Wilds,28,186,,Land,common,0.11
Rivals of Ixalan Promos,2018-01-19,Evolving Wilds,28,186,,Land,common,
Rivals of Ixalan,2018-01-19,Forsaken Sanctuary,3,187,,Land,uncommon,0.11
Rivals of Ixalan,2018-01-19,Foul Orchard,3,188,,Land,uncommon,0.09
Rivals of Ixalan,2018-01-19,Highland Lake,3,189,,Land,uncommon,0.11
Rivals of Ixalan,2018-01-19,Stone Quarry,3,190,,Land,uncommon,0.07
Rivals of Ixalan,2018-01-19,Woodland Stream,3,191,,Land,uncommon,0.10
Rivals of Ixalan,2018-01-19,Cinder Barrens,3,205,,Land,common,0.17
Masters 25,2018-03-16,Pacifism,11,28,{1}{W},Enchantment — Aura,common,0.02
Masters 25,2018-03-16,Totally Lost,1,74,{4}{U},Instant,common,0.13
Masters 25,2018-03-16,Murder,7,98,{1}{B}{B},Instant,common,0.06
Masters 25,2018-03-16,Supernatural Stamina,3,109,{B},Instant,common,0.05
Masters 25,2018-03-16,Act of Treason,4,118,{2}{R},Sorcery,common,0.12
Masters 25,2018-03-16,Chandra's Outrage,2,124,{2}{R}{R},Instant,common,0.04
Masters 25,2018-03-16,Ambassador Oak,2,158,{3}{G},Creature — Treefolk Warrior,common,0.04
Masters 25,2018-03-16,Colossal Dreadmaw,3,163,{4}{G}{G},Creature — Dinosaur,common,0.08
Dominaria,2018-04-27,Adamant Will,2,2,{1}{W},Instant,common,0.03
Dominaria,2018-04-27,Blessed Light,1,7,{4}{W},Instant,common,0.04
Dominaria,2018-04-27,Mesa Unicorn,3,27,{1}{W},Creature — Unicorn,common,0.04
Dominaria,2018-04-27,Cloudreader Sphinx,3,47,{4}{U},Creature — Sphinx,common,0.02
Dominaria,2018-04-27,Cold-Water Snapper,1,48,{5}{U},Creature — Turtle,common,0.02
Dominaria,2018-04-27,Divination,1,52,{2}{U},Sorcery,common,0.02
Dominaria,2018-04-27,Opt,16,60,{U},Instant,common,0.08
Dominaria Promos,2018-04-27,Opt,16,60,{U},Instant,common,
Dominaria,2018-04-27,Vodalian Arcanist,1,73,{1}{U},Creature — Merfolk Wizard,common,0.03
Dominaria,2018-04-27,Dark Bargain,1,83,{3}{B},Instant,common,0.03
Dominaria,2018-04-27,Soul Salvage,1,104,{2}{B},Sorcery,common,0.03
Dominaria,2018-04-27,Windgrace Acolyte,1,112,{4}{B},Creature — Cat Warrior,common,0.03
Dominaria,2018-04-27,Run Amok,3,140,{1}{R},Instant,common,0.02
Dominaria,2018-04-27,Adventurous Impulse,1,153,{G},Sorcery,common,0.06
Dominaria,2018-04-27,Llanowar Elves,27,168,{G},Creature — Elf Druid,common,0.27
Dominaria Promos,2018-04-27,Llanowar Elves,27,168,{G},Creature — Elf Druid,common,
Dominaria,2018-04-27,Yavimaya Sapherd,3,189,{2}{G},Creature — Fungus,common,0.07
Dominaria,2018-04-27,Short Sword,3,229,{1},Artifact — Equipment,common,0.03
Dominaria,2018-04-27,Skittering Surveyor,3,230,{3},Artifact Creature — Construct,common,0.02
Dominaria,2018-04-27,Meandering River,3,274,,Land,common,0.14
Dominaria,2018-04-27,Timber Gorge,3,279,,Land,common,0.15
Battlebond,2018-06-08,Angelic Gift,4,88,{1}{W},Enchantment — Aura,common,0.10
Battlebond,2018-06-08,Pacifism,11,101,{1}{W},Enchantment — Aura,common,0.01
Battlebond,2018-06-08,Frost Lynx,3,118,{2}{U},Creature — Elemental Cat,common,0.02
Battlebond,2018-06-08,Impulse,14,119,{1}{U},Instant,common,0.16
Battlebond,2018-06-08,Omenspeaker,4,125,{1}{U},Creature — Human Wizard,common,0.01
Battlebond,2018-06-08,Totally Lost,1,135,{4}{U},Instant,common,0.01
Battlebond,2018-06-08,Borderland Marauder,7,170,{1}{R},Creature — Human Warrior,common,0.02
Battlebond,2018-06-08,Shock,5,184,{R},Instant,common,0.02
Commander Anthology Volume II,2018-06-08,Evolving Wilds,28,249,,Land,common,0.17
Global Series Jiang Yanggu & Mu Yanling,2018-06-22,Meandering River,3,19,,Land,common,0.09
Global Series Jiang Yanggu & Mu Yanling,2018-06-22,Timber Gorge,3,38,,Land,common,0.13
Magic Online Promos,2018-07-11,Llanowar Elves,27,68039,{G},Creature — Elf Druid,common,
Magic Online Promos,2018-07-11,Opt,16,68047,{U},Instant,common,
Core Set 2019,2018-07-13,Angel of the Dawn,6,7,{4}{W},Creature — Angel,common,0.03
Core Set 2019,2018-07-13,Inspired Charge,2,15,{2}{W}{W},Instant,common,0.02
Core Set 2019,2018-07-13,Revitalize,3,35,{1}{W},Instant,common,0.03
Core Set 2019,2018-07-13,Take Vengeance,1,40,{1}{W},Sorcery,common,0.04
Core Set 2019,2018-07-13,Aven Wind Mage,1,45,{2}{U},Creature — Bird Wizard,common,0.02
Core Set 2019,2018-07-13,Cancel,1,48,{1}{U}{U},Instant,common,0.04
Core Set 2019,2018-07-13,Disperse,1,50,{1}{U},Instant,common,0.03
Core Set 2019,2018-07-13,Divination,1,51,{2}{U},Sorcery,common,0.06
Core Set 2019,2018-07-13,Essence Scatter,6,54,{1}{U},Instant,common,0.04
Core Set 2019,2018-07-13,Omenspeaker,4,64,{1}{U},Creature — Human Wizard,common,0.02
Core Set 2019,2018-07-13,Salvager of Secrets,6,70,{3}{U}{U},Creature — Merfolk Wizard,common,0.09
Core Set 2019,2018-07-13,Totally Lost,1,81,{4}{U},Instant,common,0.02
Core Set 2019,2018-07-13,Uncomfortable Chill,1,82,{2}{U},Instant,common,0.01
Core Set 2019,2018-07-13,Child of Night,1,89,{1}{B},Creature — Vampire,common,0.02
Core Set 2019,2018-07-13,Epicure of Blood,6,95,{4}{B},Creature — Vampire,common,0.07
Core Set 2019,2018-07-13,Lich's Caress,1,105,{3}{B}{B},Sorcery,common,0.02
Core Set 2019,2018-07-13,Macabre Waltz,3,108,{1}{B},Sorcery,common,0.05
Core Set 2019,2018-07-13,Murder,7,110,{1}{B}{B},Instant,uncommon,0.07
Core Set 2019 Promos,2018-07-13,Murder,7,110,{1}{B}{B},Instant,uncommon,
Core Set 2019,2018-07-13,Act of Treason,4,127,{2}{R},Sorcery,common,0.02
Core Set 2019,2018-07-13,Boggart Brute,1,131,{2}{R},Creature — Goblin Warrior,common,0.02
Core Set 2019,2018-07-13,Lightning Strike,17,152,{1}{R},Instant,uncommon,0.09
Core Set 2019,2018-07-13,Shock,5,156,{R},Instant,common,0.05
Core Set 2019,2018-07-13,Sparktongue Dragon,2,159,{3}{R}{R},Creature — Dragon,common,0.08
Core Set 2019,2018-07-13,Bristling Boar,1,170,{3}{G},Creature — Boar,common,0.03
Core Set 2019,2018-07-13,Colossal Dreadmaw,3,172,{4}{G}{G},Creature — Dinosaur,common,0.05
Core Set 2019,2018-07-13,Rabid Bite,2,195,{1}{G},Sorcery,common,0.04
Core Set 2019,2018-07-13,Talons of Wildwood,3,202,{1}{G},Enchantment — Aura,common,0.05
Core Set 2019,2018-07-13,Titanic Growth,1,205,{1}{G},Instant,common,0.02
Core Set 2019,2018-07-13,Heroic Reinforcements,8,217,{2}{R}{W},Sorcery,uncommon,0.03
Core Set 2019,2018-07-13,Psychic Symbiont,1,221,{4}{U}{B},Creature — Nightmare Horror,uncommon,0.03
Core Set 2019,2018-07-13,Marauder's Axe,1,240,{2},Artifact — Equipment,common,0.02
Core Set 2019,2018-07-13,Cinder Barrens,3,248,,Land,common,0.08
Core Set 2019,2018-07-13,Forsaken Sanctuary,3,250,,Land,common,0.13
Core Set 2019,2018-07-13,Foul Orchard,3,251,,Land,common,0.08
Core Set 2019,2018-07-13,Highland Lake,3,252,,Land,common,0.11
Core Set 2019,2018-07-13,Meandering River,3,253,,Land,common,0.05
Core Set 2019,2018-07-13,Stone Quarry,3,256,,Land,common,0.05
Core Set 2019,2018-07-13,Submerged Boneyard,3,257,,Land,common,0.10
Core Set 2019,2018-07-13,Timber Gorge,3,258,,Land,common,0.07
Core Set 2019,2018-07-13,Tranquil Expanse,3,259,,Land,common,0.06
Core Set 2019,2018-07-13,Woodland Stream,3,260,,Land,common,0.07
Core Set 2019,2018-07-13,Llanowar Elves,27,314,{G},Creature — Elf Druid,common,0.57
Arena New Player Experience Extras,2018-07-14,Take Vengeance,1,13,{1}{W},Sorcery,common,
Arena New Player Experience Extras,2018-07-14,Divination,1,14,{2}{U},Sorcery,common,
Arena New Player Experience Extras,2018-07-14,Rumbling Baloth,1,47,{2}{G}{G},Creature — Beast,common,
Magic Online Promos,2018-07-14,Murder,7,69256,{1}{B}{B},Instant,uncommon,
Commander 2018,2018-08-09,Evolving Wilds,28,245,,Land,common,0.09
Commander 2018,2018-08-09,Forsaken Sanctuary,3,247,,Land,uncommon,0.15
Commander 2018,2018-08-09,Highland Lake,3,255,,Land,uncommon,0.14
Commander 2018,2018-08-09,Meandering River,3,265,,Land,uncommon,0.06
Commander 2018,2018-08-09,Submerged Boneyard,3,283,,Land,uncommon,0.19
Commander 2018,2018-08-09,Tranquil Expanse,3,289,,Land,uncommon,0.22
Commander 2018,2018-08-09,Woodland Stream,3,292,,Land,common,0.14
Guilds of Ravnica,2018-10-05,Healer's Hawk,7,14,{W},Creature — Bird,common,0.11
Guilds of Ravnica,2018-10-05,Skyline Scout,1,25,{1}{W},Creature — Human Scout,common,0.02
Guilds of Ravnica,2018-10-05,Capture Sphere,1,31,{3}{U},Enchantment — Aura,common,0.01
Guilds of Ravnica,2018-10-05,Muse Drake,1,46,{3}{U},Creature — Drake,common,0.02
Guilds of Ravnica,2018-10-05,Burglar Rat,1,64,{1}{B},Creature — Rat,common,0.18
Guilds of Ravnica,2018-10-05,Child of Night,1,65,{1}{B},Creature — Vampire,common,0.03
Guilds of Ravnica,2018-10-05,Hired Poisoner,1,72,{B},Creature — Human Assassin,common,0.06
Game Night,2018-11-16,Fan Bearer,1,12,{W},Creature — Zombie,common,0.10
Game Night,2018-11-16,Inspired Charge,2,13,{2}{W}{W},Instant,common,0.04
Game Night,2018-11-16,Mesa Unicorn,3,15,{1}{W},Creature — Unicorn,common,0.32
Game Night,2018-11-16,Bone Splinters,1,27,{B},Sorcery,common,0.27
Game Night,2018-11-16,Dragon Fodder,5,39,{1}{R},Sorcery,common,0.11
Game Night,2018-11-16,Llanowar Elves,27,46,{G},Creature — Elf Druid,common,1.10
Treasure Chest,2018-12-06,Timber Gorge,3,70797,,Land,common,
Treasure Chest,2018-12-06,Meandering River,3,70799,,Land,common,
Ultimate Masters,2018-12-07,Sleight of Hand,3,70,{U},Sorcery,uncommon,0.41
Ultimate Masters,2018-12-07,Ghoulcaller's Accomplice,2,96,{1}{B},Creature — Human Rogue,common,0.02
Ultimate Masters,2018-12-07,Sanitarium Skeleton,4,111,{B},Creature — Skeleton,common,0.02
MTG Arena Promos,2018-12-25,Llanowar Elves,27,4,{G},Creature — Elf Druid,common,
Ravnica Allegiance,2019-01-25,Bring to Trial,1,5,{2}{W},Sorcery,common,0.03
Ravnica Allegiance,2019-01-25,Impassioned Orator,4,12,{1}{W},Creature — Human Cleric,common,0.08
Ravnica Allegiance,2019-01-25,Faerie Duelist,9,39,{1}{U},Creature — Faerie Rogue,common,0.05
Ravnica Allegiance,2019-01-25,Shimmer of Possibility,1,51,{1}{U},Sorcery,common,0.05
Ravnica Allegiance,2019-01-25,Act of Treason,4,91,{2}{R},Sorcery,common,0.03
Ravnica Allegiance,2019-01-25,Storm Strike,1,119,{R},Instant,common,0.04
Ravnica Allegiance,2019-01-25,Gift of Strength,1,127,{1}{G},Instant,common,0.02
War of the Spark,2019-05-03,Battlefield Promotion,2,5,{1}{W},Instant,common,0.01
War of the Spark,2019-05-03,Bulwark Giant,1,7,{5}{W},Creature — Giant Soldier,common,0.03
War of the Spark,2019-05-03,Divine Arrow,1,10,{1}{W},Instant,common,0.05
War of the Spark,2019-05-03,Trusted Pegasus,6,36,{2}{W},Creature — Pegasus,common,0.02
War of the Spark,2019-05-03,War Screecher,1,39,{1}{W},Creature — Bird,common,0.02
War of the Spark,2019-05-03,Kasmina's Transmutation,3,57,{1}{U},Enchantment — Aura,common,0.05
War of the Spark,2019-05-03,Sky Theater Strix,5,67,{1}{U},Creature — Bird,common,0.01
War of the Spark,2019-05-03,Spellkeeper Weird,2,69,{2}{U},Creature — Weird,common,0.01
War of the Spark,2019-05-03,Tamiyo's Epiphany,2,71,{3}{U},Sorcery,common,0.04
War of the Spark,2019-05-03,Thunder Drake,3,73,{3}{U},Creature — Elemental Drake,common,0.02
War of the Spark,2019-05-03,Totally Lost,1,74,{4}{U},Instant,common,0.03
War of the Spark,2019-05-03,Wall of Runes,2,75,{U},Creature — Wall,common,0.04
War of the Spark,2019-05-03,Spark Reaper,4,106,{2}{B},Creature — Zombie,common,0.03
War of the Spark,2019-05-03,Vampire Opportunist,1,110,{1}{B},Creature — Vampire,common,0.06
War of the Spark,2019-05-03,Burning Prophet,15,117,{1}{R},Creature — Human Wizard,common,0.11
War of the Spark,2019-05-03,Chandra's Pyrohelix,2,120,{1}{R},Instant,common,0.06
War of the Spark,2019-05-03,Raging Kronch,2,141,{2}{R},Creature — Beast,common,0.03
War of the Spark,2019-05-03,Spellgorger Weird,9,145,{2}{R},Creature — Weird,common,0.02
War of the Spark,2019-05-03,Turret Ogre,1,148,{3}{R},Creature — Ogre Warrior,common,0.02
War of the Spark,2019-05-03,Snarespinner,1,176,{1}{G},Creature — Spider,common,0.03
War of the Spark,2019-05-03,Mayhem Devil,6,204,{1}{B}{R},Creature — Devil,uncommon,3.04
War of the Spark,2019-05-03,Mana Geode,1,241,{3},Artifact,common,0.18
Media Inserts,2019-07-05,Shock,5,32,{R},Instant,rare,
Core Set 2020,2019-07-12,Angelic Gift,4,5,{1}{W},Enchantment — Aura,common,0.06
Core Set 2020,2019-07-12,Inspired Charge,2,24,{2}{W}{W},Instant,common,0.01
Core Set 2020,2019-07-12,Pacifism,11,32,{1}{W},Enchantment — Aura,common,0.01
Core Set 2020,2019-07-12,Raise the Alarm,20,34,{1}{W},Instant,common,0.04
Core Set 2020,2019-07-12,Cloudkin Seer,25,54,{2}{U},Creature — Elemental Wizard,common,0.09
Core Set 2020,2019-07-12,Frost Lynx,3,62,{2}{U},Creature — Elemental Cat,common,0.03
Core Set 2020,2019-07-12,Octoprophet,2,70,{3}{U},Creature — Octopus,common,0.06
Core Set 2020,2019-07-12,Unsummon,2,78,{U},Instant,common,0.04
Core Set 2020,2019-07-12,Agonizing Syphon,1,83,{3}{B},Sorcery,common,0.02
Core Set 2020,2019-07-12,Bone Splinters,1,92,{B},Sorcery,common,0.03
Core Set 2020,2019-07-12,Epicure of Blood,6,99,{4}{B},Creature — Vampire,common,0.07
Core Set 2020,2019-07-12,Gorging Vulture,5,102,{2}{B},Creature — Bird,common,0.03
Core Set 2020,2019-07-12,Murder,7,109,{1}{B}{B},Instant,common,0.05
Core Set 2020,2019-07-12,Sanitarium Skeleton,4,112,{B},Creature — Skeleton,common,0.03
Core Set 2020,2019-07-12,Soul Salvage,1,116,{2}{B},Sorcery,common,0.03
Core Set 2020,2019-07-12,Act of Treason,4,124,{2}{R},Sorcery,common,0.03
Core Set 2020,2019-07-12,Chandra's Outrage,2,130,{2}{R}{R},Instant,common,0.03
Core Set 2020,2019-07-12,Ripscale Predator,1,157,{4}{R}{R},Creature — Dinosaur,common,0.02
Core Set 2020,2019-07-12,Shock,5,160,{R},Instant,common,0.02
Core Set 2020,2019-07-12,Leafkin Druid,2,178,{1}{G},Creature — Elemental Druid,common,0.06
Core Set 2020,2019-07-12,Rabid Bite,2,190,{1}{G},Sorcery,common,0.02
Core Set 2020,2019-07-12,Silverback Shaman,11,195,{3}{G}{G},Creature — Ape Shaman,common,0.02
Core Set 2020,2019-07-12,Vorstclaw,1,201,{4}{G}{G},Creature — Elemental Horror,common,0.03
Core Set 2020,2019-07-12,Empyrean Eagle,3,208,{1}{W}{U},Creature — Bird Spirit,uncommon,0.20
Core Set 2020,2019-07-12,Ironroot Warlord,2,209,{1}{G}{W},Creature — Treefolk Soldier,uncommon,0.08
Core Set 2020,2019-07-12,Marauder's Axe,1,231,{2},Artifact — Equipment,common,0.05
Core Set 2020,2019-07-12,Evolving Wilds,28,246,,Land,common,0.08
Core Set 2020,2019-07-12,Impassioned Orator,4,306,{1}{W},Creature — Human Cleric,common,0.87
Core Set 2020,2019-07-12,Take Vengeance,1,313,{1}{W},Sorcery,common,0.21
Core Set 2020,2019-07-12,Trusted Pegasus,6,314,{2}{W},Creature — Pegasus,common,0.14
Core Set 2020,2019-07-12,Vampire Opportunist,1,326,{1}{B},Creature — Vampire,common,0.39
Core Set 2020,2019-07-12,Bristling Boar,1,338,{3}{G},Creature — Boar,common,0.08
Core Set 2020,2019-07-12,Titanic Growth,1,343,{1}{G},Instant,common,0.05
Commander 2019,2019-08-23,Sanitarium Skeleton,4,127,{B},Creature — Skeleton,common,0.08
Commander 2019,2019-08-23,Cinder Barrens,3,235,,Land,common,0.10
Commander 2019,2019-08-23,Evolving Wilds,28,241,,Land,common,0.08
Commander 2019,2019-08-23,Foul Orchard,3,244,,Land,uncommon,0.09
Commander 2019,2019-08-23,Highland Lake,3,251,,Land,uncommon,0.09
Commander 2019,2019-08-23,Stone Quarry,3,276,,Land,uncommon,0.06
Commander 2019,2019-08-23,Woodland Stream,3,286,,Land,common,0.08
Throne of Eldraine,2019-10-04,Youthful Knight,4,37,{1}{W},Creature — Human Knight,common,0.03
Throne of Eldraine,2019-10-04,Charmed Sleep,1,40,{1}{U}{U},Enchantment — Aura,common,0.02
Throne of Eldraine,2019-10-04,Opt,16,59,{U},Instant,common,0.07
Throne of Eldraine,2019-10-04,Fling,5,126,{1}{R},Instant,common,0.07
Throne of Eldraine,2019-10-04,Thrill of Possibility,7,146,{1}{R},Instant,common,0.05
Throne of Eldraine,2019-10-04,Weaselback Redcap,2,148,{R},Creature — Goblin Knight,common,0.02
Throne of Eldraine,2019-10-04,Maraleaf Pixie,2,196,{G}{U},Creature — Faerie,uncommon,0.12
Throne of Eldraine,2019-10-04,Prophet of the Peak,3,227,{6},Artifact Creature — Cat,common,0.03
Throne of Eldraine,2019-10-04,Signpost Scarecrow,1,231,{4},Artifact Creature — Scarecrow,common,0.02
Mystery Booster,2019-11-07,Angelic Gift,4,17,{1}{W},Enchantment — Aura,common,0.05
Mystery Booster,2019-11-07,Bulwark Giant,1,42,{5}{W},Creature — Giant Soldier,common,0.17
Mystery Booster,2019-11-07,Exultant Skymarcher,1,102,{1}{W}{W},Creature — Vampire Soldier,common,0.02
Mystery Booster,2019-11-07,Healer's Hawk,7,132,{W},Creature — Bird,common,0.15
Mystery Booster,2019-11-07,Inspired Charge,2,140,{2}{W}{W},Instant,common,0.02
Mystery Booster,2019-11-07,Pacifism,11,191,{1}{W},Enchantment — Aura,common,0.19
Mystery Booster,2019-11-07,Paladin of the Bloodstained,1,194,{3}{W},Creature — Vampire Knight,common,0.09
Mystery Booster,2019-11-07,Take Vengeance,1,254,{1}{W},Sorcery,common,0.06
Mystery Booster,2019-11-07,Youthful Knight,4,279,{1}{W},Creature — Human Knight,common,0.07
Mystery Booster,2019-11-07,Cancel,1,307,{1}{U}{U},Instant,common,0.15
Mystery Booster,2019-11-07,Capture Sphere,1,308,{3}{U},Enchantment — Aura,common,0.03
Mystery Booster,2019-11-07,Cloudkin Seer,25,323,{2}{U},Creature — Elemental Wizard,common,0.23
Mystery Booster,2019-11-07,Cloudreader Sphinx,3,324,{4}{U},Creature — Sphinx,common,0.05
Mystery Booster,2019-11-07,Divination,1,353,{2}{U},Sorcery,common,0.11
Mystery Booster,2019-11-07,Essence Scatter,6,367,{1}{U},Instant,common,0.33
Mystery Booster,2019-11-07,Frost Lynx,3,388,{2}{U},Creature — Elemental Cat,common,0.04
Mystery Booster,2019-11-07,Impulse,14,404,{1}{U},Instant,common,0.15
Mystery Booster,2019-11-07,Omenspeaker,4,449,{1}{U},Creature — Human Wizard,common,0.07
Mystery Booster,2019-11-07,Opt,16,451,{U},Instant,common,0.19
Mystery Booster,2019-11-07,Thunder Drake,3,524,{3}{U},Creature — Elemental Drake,common,0.08
Mystery Booster,2019-11-07,Totally Lost,1,528,{4}{U},Instant,common,0.02
Mystery Booster,2019-11-07,Uncomfortable Chill,1,536,{2}{U},Instant,common,0.03
Mystery Booster,2019-11-07,Bone Splinters,1,583,{B},Sorcery,common,0.09
Mystery Booster,2019-11-07,Cadaver Imp,6,589,{1}{B}{B},Creature — Imp,common,0.15
Mystery Booster,2019-11-07,Child of Night,1,598,{1}{B},Creature — Vampire,common,0.05
Mystery Booster,2019-11-07,Epicure of Blood,6,646,{4}{B},Creature — Vampire,common,0.16
Mystery Booster,2019-11-07,Ghoulcaller's Accomplice,2,668,{1}{B},Creature — Human Rogue,common,0.10
Mystery Booster,2019-11-07,Macabre Waltz,3,704,{1}{B},Sorcery,common,0.10
Mystery Booster,2019-11-07,Moment of Craving,5,716,{1}{B},Instant,common,0.06
Mystery Booster,2019-11-07,Murder,7,717,{1}{B}{B},Instant,common,0.08
Mystery Booster,2019-11-07,Phyrexian Rager,23,732,{2}{B},Creature — Phyrexian Horror,common,0.04
Mystery Booster,2019-11-07,Subtle Strike,2,785,{1}{B},Instant,common,0.07
Mystery Booster,2019-11-07,Windgrace Acolyte,1,827,{4}{B},Creature — Cat Warrior,common,0.04
Mystery Booster,2019-11-07,Act of Treason,4,831,{2}{R},Sorcery,common,0.05
Mystery Booster,2019-11-07,Boggart Brute,1,865,{2}{R},Creature — Goblin Warrior,common,0.06
Mystery Booster,2019-11-07,Chandra's Pyrohelix,2,883,{1}{R},Instant,common,0.09
Mystery Booster,2019-11-07,Dragon Fodder,5,909,{1}{R},Sorcery,common,0.18
Mystery Booster,2019-11-07,Fling,5,934,{1}{R},Instant,common,0.18
Mystery Booster,2019-11-07,Frenzied Raptor,1,937,{2}{R},Creature — Dinosaur,common,0.07
Mystery Booster,2019-11-07,Run Amok,3,1047,{1}{R},Instant,common,0.03
Mystery Booster,2019-11-07,Shock,5,1058,{R},Instant,common,0.04
Mystery Booster,2019-11-07,Sparktongue Dragon,2,1065,{3}{R}{R},Creature — Dragon,common,0.05
Mystery Booster,2019-11-07,Thrill of Possibility,7,1083,{1}{R},Instant,common,0.12
